ORDER_REF_index,ORDER_REF,GROSS,Total_in_netsuite,merchant_account,batch_number
A000000005,A000000005,455.0,Not_Available,JetBrainsAmericasUSD,141
A000000016,A000000016,182.0,Not_Available,JetBrainsAmericasUSD,141
A000000105,A000000105,562.0,Not_Available,JetBrainsAmericasUSD,141
A000000123,A000000123,370.0,Not_Available,JetBrainsAmericasUSD,141
A000000193,A000000193,112.0,Not_Available,JetBrainsAmericasUSD,141
A000000225,A000000225,168.0,Not_Available,JetBrainsAmericasUSD,141
A000000245,A000000245,98.0,Not_Available,JetBrainsAmericasUSD,141
A000000258,A000000258,950.0,Not_Available,JetBrainsAmericasUSD,141
A000000272,A000000272,476.0,Not_Available,JetBrainsAmericasUSD,141
A000000297,A000000297,380.0,Not_Available,JetBrainsAmericasUSD,141
A000000366,A000000366,261.0,Not_Available,JetBrainsAmericasUSD,141
A000000405,A000000405,640.0,Not_Available,JetBrainsAmericasUSD,141
A000000469,A000000469,100.0,Not_Available,JetBrainsAmericasUSD,141
A000000494,A000000494,400.0,Not_Available,JetBrainsAmericasUSD,141
A000000495,A000000495,530.0,Not_Available,JetBrainsAmericasUSD,141
A000000502,A000000502,116.0,Not_Available,JetBrainsAmericasUSD,141
A000000541,A000000541,200.0,Not_Available,JetBrainsAmericasUSD,141
A000000545,A000000545,60.0,Not_Available,JetBrainsAmericasUSD,141
A000000574,A000000574,154.0,Not_Available,JetBrainsAmericasUSD,141
A000000597,A000000597,400.0,Not_Available,JetBrainsAmericasUSD,141
A000000678,A000000678,691.0,Not_Available,JetBrainsAmericasUSD,141
A000000680,A000000680,580.0,Not_Available,JetBrainsAmericasUSD,141
A000000775,A000000775,450.0,Not_Available,JetBrainsAmericasUSD,141
A000000785,A000000785,84.0,Not_Available,JetBrainsAmericasUSD,141
A000000826,A000000826,550.0,Not_Available,JetBrainsAmericasUSD,141
A000000844,A000000844,125.0,Not_Available,JetBrainsAmericasUSD,141
A000000893,A000000893,126.0,Not_Available,JetBrainsAmericasUSD,141
A000000987,A000000987,270.0,Not_Available,JetBrainsAmericasUSD,141
A000000988,A000000988,420.0,Not_Available,JetBrainsAmericasUSD,141
A000000999,A000000999,238.0,Not_Available,JetBrainsAmericasUSD,141
A000001022,A000001022,344.0,Not_Available,JetBrainsAmericasUSD,141
A000001024,A000001024,186.0,Not_Available,JetBrainsAmericasUSD,141
A000001027,A000001027,390.0,Not_Available,JetBrainsAmericasUSD,141
A000001029,A000001029,122.0,Not_Available,JetBrainsAmericasUSD,141
A000001047,A000001047,426.0,Not_Available,JetBrainsAmericasUSD,141
A000001063,A000001063,100.0,Not_Available,JetBrainsAmericasUSD,141
A000001095,A000001095,342.0,Not_Available,JetBrainsAmericasUSD,141
A000001186,A000001186,94.0,Not_Available,JetBrainsAmericasUSD,141
A000001205,A000001205,60.0,Not_Available,JetBrainsAmericasUSD,141
A000001342,A000001342,240.0,Not_Available,JetBrainsAmericasUSD,141
A000001460,A000001460,320.0,Not_Available,JetBrainsAmericasUSD,141
A000001610,A000001610,410.0,Not_Available,JetBrainsAmericasUSD,141
A000001636,A000001636,340.0,Not_Available,JetBrainsAmericasUSD,141
A000001662,A000001662,692.0,Not_Available,JetBrainsAmericasUSD,141
A000001746,A000001746,310.0,Not_Available,JetBrainsAmericasUSD,141
A000001803,A000001803,214.0,Not_Available,JetBrainsAmericasUSD,141
A000001827,A000001827,76.0,Not_Available,JetBrainsAmericasUSD,141
A000001836,A000001836,660.0,Not_Available,JetBrainsAmericasUSD,141
A000001856,A000001856,390.0,Not_Available,JetBrainsAmericasUSD,141
A000001860,A000001860,696.0,Not_Available,JetBrainsAmericasUSD,141
A000002074,A000002074,350.0,Not_Available,JetBrainsAmericasUSD,141
A000002225,A000002225,400.0,Not_Available,JetBrainsAmericasUSD,141
A000002226,A000002226,675.0,Not_Available,JetBrainsAmericasUSD,141
A000002230,A000002230,256.0,Not_Available,JetBrainsAmericasUSD,141
A000002346,A000002346,570.0,Not_Available,JetBrainsAmericasUSD,141
A000002401,A000002401,70.0,Not_Available,JetBrainsAmericasUSD,141
A000002465,A000002465,160.0,Not_Available,JetBrainsAmericasUSD,141
A000002484,A000002484,260.0,Not_Available,JetBrainsAmericasUSD,141
A000002505,A000002505,176.0,Not_Available,JetBrainsAmericasUSD,141
A000002551,A000002551,100.0,Not_Available,JetBrainsAmericasUSD,141
A000002577,A000002577,660.0,Not_Available,JetBrainsAmericasUSD,141
A000002583,A000002583,264.0,Not_Available,JetBrainsAmericasUSD,141
A000002593,A000002593,500.0,Not_Available,JetBrainsAmericasUSD,141
A000002605,A000002605,65.0,Not_Available,JetBrainsAmericasUSD,141
A000002641,A000002641,80.0,Not_Available,JetBrainsAmericasUSD,141
A000002642,A000002642,120.0,Not_Available,JetBrainsAmericasUSD,141
A000002659,A000002659,50.0,Not_Available,JetBrainsAmericasUSD,141
A000002775,A000002775,190.0,Not_Available,JetBrainsAmericasUSD,141
A000002935,A000002935,20.0,Not_Available,JetBrainsAmericasUSD,141
A000002937,A000002937,655.0,Not_Available,JetBrainsAmericasUSD,141
A000002954,A000002954,306.0,Not_Available,JetBrainsAmericasUSD,141
A000002998,A000002998,300.0,Not_Available,JetBrainsAmericasUSD,141
A000003020,A000003020,266.0,Not_Available,JetBrainsAmericasUSD,141
A000003148,A000003148,500.0,Not_Available,JetBrainsAmericasUSD,141
A000003150,A000003150,820.0,Not_Available,JetBrainsAmericasUSD,141
A000003182,A000003182,362.0,Not_Available,JetBrainsAmericasUSD,141
A000003220,A000003220,295.0,Not_Available,JetBrainsAmericasUSD,141
A000003236,A000003236,567.0,Not_Available,JetBrainsAmericasUSD,141
