ORDER_REF_index,MERCHANT_ACCOUNT,BATCH_NUMBER,ORDER_REF,CURRENCY,NET,FEE,GROSS,Total_in_netsuite,amount_check1
A000003780,JetBrainsEUR,139,A000003780,EUR,732.0,38.0,770.0,770.0,True
A000003780Refund,JetBrainsEUR,139,A000003780Refund,EUR,-732.0,-38.0,-770.0,0.0,False
A000073768,JetBrainsEUR,139,A000073768,EUR,609.0,32.0,641.0,641.0,True
A000073768Refund,JetBrainsEUR,139,A000073768Refund,EUR,-609.0,-32.0,-641.0,0.0,False
A000104449,JetBrainsEUR,139,A000104449,EUR,380.0,20.0,400.0,400.0,True
A000104449Refund,JetBrainsEUR,139,A000104449Refund,EUR,-190.0,-10.0,-200.0,0.0,False
A000161476,JetBrainsEUR,139,A000161476,EUR,203.0,11.0,214.0,214.0,True
A000161476Refund,JetBrainsEUR,139,A000161476Refund,EUR,-203.0,-11.0,-214.0,0.0,False
A000178416,JetBrainsEUR,139,A000178416,EUR,565.0,30.0,595.0,595.0,True
A000178416Refund,JetBrainsEUR,139,A000178416Refund,EUR,-283.0,-15.0,-298.0,0.0,False
A000202725,JetBrainsEUR,139,A000202725,EUR,333.0,17.0,350.0,350.0,True
A000202725Refund,JetBrainsEUR,139,A000202725Refund,EUR,-166.0,-9.0,-175.0,0.0,False
A000223721,JetBrainsEUR,139,A000223721,EUR,143.0,7.0,150.0,150.0,True
A000223721Refund,JetBrainsEUR,139,A000223721Refund,EUR,-143.0,-7.0,-150.0,0.0,False
C000011019,JetBrainsEUR,139,C000011019,EUR,452.0,24.0,476.0,476.0,True
C000011019Refund,JetBrainsEUR,139,C000011019Refund,EUR,-452.0,-24.0,-476.0,0.0,False
C000012826,JetBrainsEUR,139,C000012826,EUR,46.0,2.0,48.0,48.0,True
C000012826Refund,JetBrainsEUR,139,C000012826Refund,EUR,-46.0,-2.0,-48.0,0.0,False
C000027703,JetBrainsEUR,139,C000027703,EUR,581.0,31.0,612.0,612.0,True
C000027703Refund,JetBrainsEUR,139,C000027703Refund,EUR,-581.0,-31.0,-612.0,0.0,False
C000128932,JetBrainsEUR,139,C000128932,EUR,106.0,6.0,112.0,112.0,True
C000128932Refund,JetBrainsEUR,139,C000128932Refund,EUR,-53.0,-3.0,-56.0,0.0,False
C000168989,JetBrainsEUR,139,C000168989,EUR,333.0,17.0,350.0,350.0,True
C000168989Refund,JetBrainsEUR,139,C000168989Refund,EUR,-166.0,-9.0,-175.0,0.0,False
C000190633,JetBrainsEUR,139,C000190633,EUR,220.0,12.0,232.0,232.0,True
