ORDER_REF_index,ORDER_REF,GROSS,Total_in_netsuite,merchant_account,batch_number
A000000800,A000000800,154.0,Not_Available,JetBrainsGBP,141
A000001608,A000001608,664.0,Not_Available,JetBrainsGBP,141
A000002114,A000002114,260.0,Not_Available,JetBrainsGBP,141
A000002249,A000002249,585.0,Not_Available,JetBrainsGBP,141
A000002900,A000002900,300.0,Not_Available,JetBrainsGBP,141
A000004328,A000004328,525.0,Not_Available,JetBrainsGBP,141
A000004677,A000004677,440.0,Not_Available,JetBrainsGBP,141
A000004955,A000004955,140.0,Not_Available,JetBrainsGBP,141
A000005500,A000005500,353.0,Not_Available,JetBrainsGBP,141
A000005950,A000005950,495.0,Not_Available,JetBrainsGBP,141
A000006465,A000006465,348.0,Not_Available,JetBrainsGBP,141
A000006969,A000006969,250.0,Not_Available,JetBrainsGBP,141
A000008151,A000008151,360.0,Not_Available,JetBrainsGBP,141
A000008254,A000008254,82.0,Not_Available,JetBrainsGBP,141
A000009304,A000009304,174.0,Not_Available,JetBrainsGBP,141
A000009960,A000009960,264.0,Not_Available,JetBrainsGBP,141
A000010233,A000010233,164.0,Not_Available,JetBrainsGBP,141
A000010266,A000010266,785.0,Not_Available,JetBrainsGBP,141
A000010737,A000010737,158.0,Not_Available,JetBrainsGBP,141
A000010768,A000010768,230.0,Not_Available,JetBrainsGBP,141
A000011122,A000011122,325.0,Not_Available,JetBrainsGBP,141
A000011172,A000011172,560.0,Not_Available,JetBrainsGBP,141
A000011304,A000011304,1010.0,Not_Available,JetBrainsGBP,141
A000011458,A000011458,355.0,Not_Available,JetBrainsGBP,141
A000011466,A000011466,680.0,Not_Available,JetBrainsGBP,141
A000012144,A000012144,698.0,Not_Available,JetBrainsGBP,141
A000013085,A000013085,14.0,Not_Available,JetBrainsGBP,141
A000013628,A000013628,98.0,Not_Available,JetBrainsGBP,141
A000014052,A000014052,486.0,Not_Available,JetBrainsGBP,141
A000014967,A000014967,264.0,Not_Available,JetBrainsGBP,141
A000015479,A000015479,40.0,Not_Available,JetBrainsGBP,141
A000016430,A000016430,126.0,Not_Available,JetBrainsGBP,141
A000016876,A000016876,165.0,Not_Available,JetBrainsGBP,141
A000016921,A000016921,150.0,Not_Available,JetBrainsGBP,141
A000017865,A000017865,148.0,Not_Available,JetBrainsGBP,141
A000017878,A000017878,935.0,Not_Available,JetBrainsGBP,141
A000018934,A000018934,180.0,Not_Available,JetBrainsGBP,141
A000019066,A000019066,800.0,Not_Available,JetBrainsGBP,141
A000019151,A000019151,150.0,Not_Available,JetBrainsGBP,141
A000019656,A000019656,422.0,Not_Available,JetBrainsGBP,141
A000019816,A000019816,400.0,Not_Available,JetBrainsGBP,141
A000020341,A000020341,150.0,Not_Available,JetBrainsGBP,141
A000020819,A000020819,40.0,Not_Available,JetBrainsGBP,141
A000022555,A000022555,200.0,Not_Available,JetBrainsGBP,141
A000023083,A000023083,455.0,Not_Available,JetBrainsGBP,141
A000023462,A000023462,456.0,Not_Available,JetBrainsGBP,141
A000023543,A000023543,126.0,Not_Available,JetBrainsGBP,141
A000024063,A000024063,290.0,Not_Available,JetBrainsGBP,141
A000024205,A000024205,112.0,Not_Available,JetBrainsGBP,141
A000024487,A000024487,14.0,Not_Available,JetBrainsGBP,141
A000024499,A000024499,350.0,Not_Available,JetBrainsGBP,141
A000024949,A000024949,80.0,Not_Available,JetBrainsGBP,141
A000025169,A000025169,325.0,Not_Available,JetBrainsGBP,141
A000025600,A000025600,223.0,Not_Available,JetBrainsGBP,141
A000025722,A000025722,480.0,Not_Available,JetBrainsGBP,141
A000026338,A000026338,360.0,Not_Available,JetBrainsGBP,141
A000027258,A000027258,493.0,Not_Available,JetBrainsGBP,141
A000027293,A000027293,130.0,Not_Available,JetBrainsGBP,141
A000027320,A000027320,470.0,Not_Available,JetBrainsGBP,141
A000028370,A000028370,80.0,Not_Available,JetBrainsGBP,141
A000028709,A000028709,180.0,Not_Available,JetBrainsGBP,141
