ORDER_REF,AMOUNT,AMOUNT_FOREIGN,TRANSACTION_TYPE,ACCOUNTNUMBER,MERCHANT_ACCOUNT,BATCH_NUMBER,TYPE_NAME
R000159596,247.54,344.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
E000096675,335.97,428.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
E000273037,150.92,190.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
E000090969,42.12,53.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
C000098287,784.79,998.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
E000276685,101.46,133.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000153935,150.40,209.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
R000092219,14.06,19.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
C000222041,547.13,779.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
R000295085,139.53,185.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000080985,858.55,1112.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
Z000084208,20.13,27.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000032897,120.70,152.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
R000045330,207.45,266.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
E000147714,77.83,102.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000083575,194.60,247.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
A000250242,166.02,213.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
A000108706,229.28,310.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000270603,391.32,542.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
E000260036,436.72,562.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
C000218996,71.81,95.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000118205,386.73,494.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
R000063676,487.18,631.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
E000038847,271.35,380.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
A000027839,112.29,143.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
R000179369,27.21,38.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000021444,214.48,285.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
E000170971,297.71,380.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
E000215641,190.71,247.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
Z000264363,542.16,713.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000247567,243.61,323.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
A000173411,73.91,93.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
C000045402,28.55,38.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000055079,206.29,266.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
C000286141,289.66,388.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000284224,227.15,304.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
E000080677,329.14,428.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
C000146876,38.18,48.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
A000166011,190.67,266.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
R000295054,701.96,898.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
E000067345,92.07,124.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
E000181831,310.10,428.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
R000054208,348.21,451.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
A000260861,20.53,27.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000077726,187.98,247.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
A000009142,498.30,627.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
Z000117995,372.13,475.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
A000156716,251.82,357.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
A000203217,111.32,141.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
E000228941,179.09,251.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
R000262913,218.93,309.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
A000191812,582.70,741.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
C000057465,437.15,618.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000156229,49.37,67.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
R000112690,187.62,243.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
R000275077,371.26,523.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
E000140638,330.28,418.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
R000133999,281.44,399.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000036859,161.70,215.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000062847,90.09,114.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
R000271916,113.02,157.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000079811,167.14,219.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
R000152705,21.15,27.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
E000299666,430.41,545.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
R000240313,159.06,209.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000260042,112.27,152.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
R000214662,207.33,266.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
Z000081012,168.04,228.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000054016,181.60,238.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000148405,334.22,447.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000075766,532.33,745.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000239024,339.82,432.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
R000234640,227.19,295.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
Z000143358,226.12,295.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
C000111030,44.52,57.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
A000205227,154.64,219.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000301063,165.25,228.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
C000051992,311.93,432.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
A000165886,113.01,143.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
A000123981,54.57,74.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000237179,100.71,133.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
A000220355,132.76,185.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
R000023966,448.98,594.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
R000143499,122.41,171.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
A000205338,575.45,739.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
C000104292,100.53,133.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
R000170170,719.43,936.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
A000249887,48.02,67.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
A000165909,183.68,253.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
E000130581,120.96,171.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000063378,203.10,257.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
C000053325,400.26,561.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000177214,37.88,48.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
R000255067,84.30,118.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000021581,458.19,581.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
Z000130883,95.85,133.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000155505,234.47,306.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
A000228639,336.59,437.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
Z000034598,40.29,53.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
A000051729,512.20,665.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
C000153868,279.22,356.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
C000062064,43.15,57.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000244773,585.41,756.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
E000174555,61.04,80.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000265334,446.51,599.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000242910,385.76,485.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
A000257015,101.55,133.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
E000256167,105.51,143.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
A000184357,113.18,143.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
R000274544,142.96,190.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000045686,78.35,99.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
R000108890,232.26,304.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
E000080466,219.52,285.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
Z000211195,597.61,808.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000258832,409.72,534.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
R000217768,206.67,266.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
Z000295103,212.25,277.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
A000250494,490.27,635.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
E000094731,62.14,80.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
R000163159,215.96,280.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000082577,225.71,285.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
R000039198,413.63,584.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
C000276744,14.67,19.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
C000292869,147.64,209.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
E000183401,521.46,656.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
R000108586,572.95,746.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
C000282432,136.78,190.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000162201,283.62,369.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
A000057235,9.79,13.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000188874,386.88,551.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000088394,110.41,143.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
E000043415,164.28,213.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000260330,9.36,13.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
E000225105,71.80,93.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
A000110365,132.62,171.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
Z000168564,149.96,192.00,Payment,315720,JetBrainsGBP,140,Other Current Asset
E000185420,622.33,812.00,Payment,315720,JetBrainsGBP,142,Other Current Asset
C000176895,347.92,494.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
A000027040,144.58,190.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000058992,568.89,808.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
Z000100250,135.00,190.00,Payment,315720,JetBrainsGBP,138,Other Current Asset
Z000189595,420.26,561.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
R000059544,288.34,380.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
C000265632,9.28,13.00,Payment,315720,JetBrainsGBP,139,Other Current Asset
