ORDER_REF,AMOUNT,AMOUNT_FOREIGN,TRANSACTION_TYPE,ACCOUNTNUMBER,MERCHANT_ACCOUNT,BATCH_NUMBER,TYPE_NAME
R000140071,499.00,499.00,Payment,315710,JetBrainsUSD,140,Other Current Asset
A000271166,239.00,239.00,Payment,315710,JetBrainsUSD,141,Other Current Asset
R000175823,40.00,40.00,Payment,315710,JetBrainsUSD,139,Other Current Asset
A000072785,475.00,475.00,Payment,315710,JetBrainsUSD,141,Other Current Asset
E000014903,230.00,230.00,Payment,315710,JetBrainsUSD,140,Other Current Asset
E000212187,285.00,285.00,Payment,315710,JetBrainsUSD,139,Other Current Asset
C000113335,610.00,610.00,Payment,315710,JetBrainsUSD,142,Other Current Asset
A000185817,323.00,323.00,Payment,315710,JetBrainsUSD,140,Other Current Asset
C000178094,95.00,95.00,Payment,315710,JetBrainsUSD,141,Other Current Asset
A000117577,190.00,190.00,Payment,315710,JetBrainsUSD,138,Other Current Asset
Z000289401,277.00,277.00,Payment,315710,JetBrainsUSD,142,Other Current Asset
Z000023706,264.00,264.00,Payment,315710,JetBrainsUSD,140,Other Current Asset
R000121509,93.00,93.00,Payment,315710,JetBrainsUSD,138,Other Current Asset
E000104695,133.00,133.00,Payment,315710,JetBrainsUSD,138,Other Current Asset
A000277529,556.00,556.00,Payment,315710,JetBrainsUSD,140,Other Current Asset
R000003462,291.00,291.00,Payment,315710,JetBrainsUSD,138,Other Current Asset
R000250169,93.00,93.00,Payment,315710,JetBrainsUSD,139,Other Current Asset
A000066070,426.00,426.00,Payment,315710,JetBrainsUSD,141,Other Current Asset
R000074185,420.00,420.00,Payment,315710,JetBrainsUSD,140,Other Current Asset
Z000265915,299.00,299.00,Payment,315710,JetBrainsUSD,139,Other Current Asset
R000258660,196.00,196.00,Payment,315710,JetBrainsUSD,142,Other Current Asset
A000073385,190.00,190.00,Payment,315710,JetBrainsUSD,139,Other Current Asset
E000171862,228.00,228.00,Payment,315710,JetBrainsUSD,139,Other Current Asset
E000059647,428.00,428.00,Payment,315710,JetBrainsUSD,141,Other Current Asset
Z000023990,190.00,190.00,Payment,315710,JetBrainsUSD,141,Other Current Asset
Z000058171,608.00,608.00,Payment,315710,JetBrainsUSD,141,Other Current Asset
Z000301619,641.00,641.00,Payment,315710,JetBrainsUSD,138,Other Current Asset
R000223641,556.00,556.00,Payment,315710,JetBrainsUSD,142,Other Current Asset
E000120116,602.00,602.00,Payment,315710,JetBrainsUSD,141,Other Current Asset
Z000129387,163.00,163.00,Payment,315710,JetBrainsUSD,139,Other Current Asset
R000173246,243.00,243.00,Payment,315710,JetBrainsUSD,141,Other Current Asset
Z000236008,428.00,428.00,Payment,315710,JetBrainsUSD,138,Other Current Asset
A000012029,80.00,80.00,Payment,315710,JetBrainsUSD,142,Other Current Asset
Z000045369,705.00,705.00,Payment,315710,JetBrainsUSD,141,Other Current Asset
Z000115080,160.00,160.00,Payment,315710,JetBrainsUSD,140,Other Current Asset
C000107521,226.00,226.00,Payment,315710,JetBrainsUSD,140,Other Current Asset
Z000236871,548.00,548.00,Payment,315710,JetBrainsUSD,141,Other Current Asset
C000202195,633.00,633.00,Payment,315710,JetBrainsUSD,139,Other Current Asset
E000196169,219.00,219.00,Payment,315710,JetBrainsUSD,142,Other Current Asset
C000260329,708.00,708.00,Payment,315710,JetBrainsUSD,141,Other Current Asset
A000093508,499.00,499.00,Payment,315710,JetBrainsUSD,140,Other Current Asset
R000041879,106.00,106.00,Payment,315710,JetBrainsUSD,138,Other Current Asset
A000091488,295.00,295.00,Payment,315710,JetBrainsUSD,140,Other Current Asset
C000277262,67.00,67.00,Payment,315710,JetBrainsUSD,139,Other Current Asset
